107,8,A008,1800084,PT BANK PEMBANGUNAN DAERAH PAPUA,,2018-01-02,31/01/2019,056/PKS/BSP/I/2018,PKS,1,4,,Aktif
108,7,A007,1800085,PT BANK PEMBANGUNAN DAERAH PAPUA,,2018-06-04,2019-06-04,164/PKS/BPD-NBR/VI/2018,PKS,1,10,,Aktif
109,8,A008,1800086,"PT BANK PERMATA, TBK",,2017-01-01,31/12/2019,PVM.CRES5005830C/CTR/160902,PKS,1,310,,Aktif
110,8,A008,1800086,"PT BANK PERMATA, TBK",,2018-01-01,31/12/2019,PVM.CR/CTR/700228C,PKS,1,10,,Aktif
111,1,A001,1800087,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,19/11/2017,18/11/2018,318/PKS-ADD/BSP/XII/2017,ADD,1,58,,Aktif
112,1,A001,1800087,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,19/11/2017,18/11/2018,320/PKS-ADD/BSP/XI./2017,ADD,1,47,,Aktif
113,1,A001,1800087,"PT BANK RAKYAT INDONESIA (PERSERO), Tbk",,19/11/2017,18/11/2018,324/PKS-ADD/BSP/XII/2017,ADD,1,119,,Aktif
114,1,A001,1800087,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,19/11/2017,18/11/2018,050/PKS-ADD/BSP/XI/2017,ADD,1,32,,Aktif
115,8,A008,1800087,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,2018-01-07,31/06/2019,223/PKS-ADD/BSP/07/2018,ADD,1,45,,Aktif
116,8,A008,1800088,"PT BANK RAKYAT INDONESIA (PERSERO), Tbk",,2018-01-08,31/07/2019,246/PKS-AMD/BSP/IX/2018,AMD,1,15,,Aktif
117,8,A008,1800089,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,2018-01-08,31/07/2019,247/PKS-AMD/BSP/IX/2018,AMD,1,4,,Aktif
118,4,A004,1800090,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,19/11/2017,18/11/2018,303/PKS-ADD/BSP/11/2017,ADD,1,209,,Aktif
119,5,A005,1800090,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,19/11/2017,18/11/2018,247/PKS-ADD/BSP/IX/2017,ADD,1,65,,Aktif
120,6,A006,1800090,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,19/11/2017,18/11/2018,306/PKS-ADD/BSP/XI/2018,ADD,1,13,,Aktif
121,7,A007,1800090,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",,19/11/2017,18/11/2018,060/PKS-ADD/BSP/11/2017,ADD,1,79,,Aktif
122,8,A008,1800090,PT BANK SAHABAT SAMPOERNA,,2018-01-05,30/04/2020,161/PKS-AMD/BSP/V/2018,AMD,1,42,,Aktif
123,8,A008,1800091,PT BANK UOB INDONESIA,,2017-01-01,31/12/2018,049/PKS/BSP/I/2017,PKS,1,161,,Aktif
